bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
2289BEG,,BadGrönenbach,6,Bayern,2.89,7.59,
281RVB,,BadHarzburg,3,Niedersachsen,3.91,10.43,
282NVV,,BadHersfeld,3,Hessen,16.0,42.71,
2886NWL,,BadHolzhausen,6,Nordrhein-Westfalen,3.85,9.87,
284RMV,,BadHomburg,3,Hessen,4.14,10.93,
285goR,,BadHonnef(Rhein),5,Nordrhein-Westfalen,2.69,7.09,
,286ZVRPNord,BadHönningen,4,Rheinland-Pfalz,4.57,11.36,
287NVV,,BadKarlshafen,7,Hessen,2.53,6.77,
288BEG,,BadKissingen,5,Bayern,2.72,7.01,
289VMV,,BadKleinen,4,Mecklenburg-Vorpommern,5.1,12.82,
290BEG,,BadKohlgrub,7,Bayern,2.13,5.65,
291BEG,,BadKohlgrubKurhaus,7,Bayern,2.13,5.65,
292RMV,,BadKönig,6,Hessen,2.48,6.52,
6989RMV,,BadKönig-Zell,7,Hessen,1.88,4.96,
294NASA,,BadKösen,5,Sachsen-Anhalt,3.29,8.62,
295TLBV,,BadKöstritz,6,Thüringen,3.43,9.13,
3390BEG,,BadKötzting,6,Bayern,2.89,7.59,
,296ZÖPNVSüd,BadKreuznach,3,Rheinland-Pfalz,3.96,10.57,
297VMBW,,BadKrozingen,4,Baden-Württemberg,3.92,10.18,
298TLBV,,BadLangensalza,4,Thüringen,5.03,13.4,
301ZVNL,,BadLausick,5,Sachsen,3.24,8.61,
8081LNVG,,BadLauterbergimHarzBarbis,7,Niedersachsen,2.85,7.6,
303VBB,,BadLiebenwerda,7,Brandenburg,3.21,8.56,
304VMBW,,BadLiebenzell,6,Baden-Württemberg,2.35,6.18,
3753TLBV,,BadLobenstein,6,Thüringen,3.43,,"9,13Namealt:Lobenstein(Thür)"
3913NAHSH,,BadMalente-Gremsmühlen,5,Schleswig-Holstein,3.75,9.91,
306LNVG,,BadMünder(Deister),5,Niedersachsen,4.79,12.4,
,307ZÖPNVSüd,BadMünsteramStein,4,Rheinland-Pfalz,2.84,7.4,
308goR,,BadMünstereifel,6,Nordrhein-Westfalen,3.77,8.76,
174goR,,BadMünstereifelArloff,7,Nordrhein-Westfalen,3.48,5.28,
3018goR,,BadMünstereifel-Iversheim,6,Nordrhein-Westfalen,3.77,8.76,
310RMV,,BadNauheim,4,Hessen,2.78,6.42,
311LNVG,,BadNenndorf,5,Niedersachsen,4.79,12.4,
,312ZVRPNord,BadNeuenahr,5,Rheinland-Pfalz,2.59,5.24,
313BEG,,BadNeustadt(Saale),5,Bayern,2.72,7.01,
314VMBW,,BadNiedernau,6,Baden-Württemberg,2.35,6.18,
315NWL,,BadOeynhausen,3,Nordrhein-Westfalen,7.97,17.74,
316NWL,,BadOeynhausenSüd,6,Nordrhein-Westfalen,3.85,9.87,
317NAHSH,,BadOldesloe,2,Schleswig-Holstein,26.39,70.43,
318VMBW,,BadPeterstal,6,Baden-Württemberg,2.35,6.18,
319LNVG,,BadPyrmont,5,Niedersachsen,4.79,12.4,
320VMBW,,BadRappenau,5,Baden-Württemberg,2.91,7.35,
8274VMBW,,BadRappenauKurpark,6,Baden-Württemberg,2.35,6.18,
321BEG,,BadReichenhall,5,Bayern,2.72,7.01,
322BEG,,BadReichenhall-Kirchberg,6,Bayern,2.89,7.59,
5302BEG,,BadRodach(bCoburg),6,Bayern,2.89,7.59,
