@id;name;@lat;@lon;railway;public_transport;Index1_df0;Code_df0;Serviceeinrichtung_df0;Category_df0;State_df0;Price_SPNV_df0;Price_SPFV_df0;Bemerkung_df0;match_type;match_score;match_subtype;confidence;explanation
25895650;Hövelriege;51.8649389;8.6419841;halt;station;2928;NWL;Hövelriege;6.0;Nordrhein-Westfalen;3,85 €;9,87 €;;exact;100;;;
25900008;Unna-Königsborn;51.5532388;7.687776;station;station;6337;NWL;Unna-Königsborn;6.0;Nordrhein-Westfalen;3,85 €;9,87 €;;exact;100;;;
25900301;Bad Sassendorf;51.5871893;8.1624553;halt;station;334;NWL;Bad Sassendorf;6.0;Nordrhein-Westfalen;3,85 €;9,87 €;;exact;100;;;
25900368;Geseke;51.6452218;8.510302;station;station;2109;NWL;Geseke;5.0;Nordrhein-Westfalen;3,91 €;9,89 €;;exact;100;;;
26023348;Leipzig-Lindenau;51.3335463;12.321642;halt;station;3731;ZVNL;Leipzig-Lindenau;6.0;Sachsen;2,56 €;6,83 €;;exact;100;;;
26025172;Lübberstedt;53.3428686;8.7852965;station;station;3806;LNVG;Lübberstedt;6.0;Niedersachsen;4,23 €;10,34 €;;exact;100;;;
26080368;Ilmenau-Roda;50.6974909;10.8887385;halt;stop_position;2979;TLBV;Ilmenau-Roda;7.0;Thüringen;2,70 €;7,22 €;;exact;100;;;
26080391;Geraberg;50.715571;10.8572711;halt;stop_position;2082;TLBV;Geraberg;6.0;Thüringen;3,43 €;9,13 €;;exact;100;;;
26080410;Martinroda;50.7334188;10.8810887;halt;stop_position;3991;TLBV;Martinroda;7.0;Thüringen;2,70 €;7,22 €;;exact;100;;;
26086557;Treben-Lehma;51.0469063;12.4409025;halt;station;6243;TLBV;Treben-Lehma;6.0;Thüringen;3,43 €;9,13 €;;exact;100;;;
26112734;Löhne (Westf);52.1965102;8.7139521;station;station;3768;NWL;Löhne (Westf);4.0;Nordrhein-Westfalen;5,03 €;11,82 €;;exact;100;;;
26124376;Westend;52.5180135;13.2844201;station;station;6708;VBB Berlin;Westend;4.0;Berlin;2,00 €;5,33 €;;exact;100;;;
26195653;Bietigheim-Bissingen;48.9479046;9.1371243;station;station;636;VM BW;Bietigheim-Bissingen;2.0;Baden-Württemberg;15,35 €;40,77 €;;exact;100;;;
26195726;Besigheim;48.9977524;9.1364672;halt;station;588;VM BW;Besigheim;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
26196061;Gehlberg;50.6837805;10.7697075;halt;;2030;TLBV;Gehlberg;6.0;Thüringen;3,43 €;9,13 €;;exact;100;;;
26487859;Wilferdingen-Singen;48.9537401;8.5728082;station;station;6769;VM BW;Wilferdingen-Singen;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
26490141;Delmenhorst;53.0528092;8.6294626;station;station;1159;LNVG;Delmenhorst;3.0;Niedersachsen;9,17 €;24,07 €;;exact;100;;;
26496854;Bremen Neustadt;53.0761509;8.7860771;station;station;856;SUBV;Bremen Neustadt;5.0;Bremen;1,56 €;4,04 €;;exact;100;;;
26594403;Bobstadt;49.6622488;8.4521845;halt;;721;VRN;Bobstadt;6.0;Hessen;2,31 €;6,13 €;;exact;100;;;
26594671;Unterreichenbach;48.8268571;8.7113133;station;station;6362;VM BW;Unterreichenbach;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
26594930;Nagold;48.55539;8.7279041;station;station;4295;VM BW;Nagold;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
26600620;Othmarschen;53.5591518;9.8852809;station;station;4817;BWVI;Othmarschen;4.0;Hamburg;2,79 €;6,93 €;;exact;100;;;
26600701;Torgau;51.5628862;12.9909587;station;station;6228;ZVNL;Torgau;5.0;Sachsen;3,24 €;8,61 €;;exact;100;;;
26609589;Riedrode;49.6475356;8.4963692;halt;station;5272;VRN;Riedrode;6.0;Hessen;2,31 €;6,13 €;;exact;100;;;
26617815;Mühlacker;48.9530851;8.8458301;station;station;4197;VM BW;Mühlacker;3.0;Baden-Württemberg;5,29 €;13,61 €;;exact;100;;;
26773593;Mainz-Gustavsburg;49.9943139;8.3140533;station;station;3903;RMV;Mainz-Gustavsburg;4.0;Hessen;2,78 €;6,42 €;;exact;100;;;
26867226;Lampertheim;49.598578;8.4784826;station;station;3500;VRN;Lampertheim;4.0;Hessen;3,47 €;8,57 €;;exact;100;;;
26886068;Biblis;49.6889329;8.4504704;station;station;614;VRN;Biblis;4.0;Hessen;3,47 €;8,57 €;;exact;100;;;
26904717;Heerstraße;52.5078537;13.2598587;halt;station;7728;VBB Berlin;Heerstraße;5.0;Berlin;1,96 €;5,19 €;;exact;100;;;
26943869;Pichelsberg;52.5101503;13.2276304;station;station;7732;VBB Berlin;Pichelsberg;5.0;Berlin;1,96 €;5,19 €;;exact;100;;;
26945519;Bonn-Oberkassel;50.7150242;7.1593141;station;station;772;go.R;Bonn-Oberkassel;5.0;Nordrhein-Westfalen;2,69 €;7,09 €;;exact;100;;;
26969275;Hohenzollerndamm;52.488627;13.3002415;halt;station;2866;VBB Berlin;Hohenzollerndamm;4.0;Berlin;2,00 €;5,33 €;;exact;100;;;
27144482;Bürstadt;49.6457684;8.4581969;station;station;1002;VRN;Bürstadt;6.0;Hessen;2,31 €;6,13 €;;exact;100;;;
27175627;Lorsch;49.6590497;8.5660491;station;station;3786;VRN;Lorsch;6.0;Hessen;2,31 €;6,13 €;;exact;100;;;
27308158;Nufringen;48.6203959;8.8902783;halt;station;4592;VRStutt;Nufringen;5.0;Baden-Württemberg;2,09 €;5,58 €;;exact;100;;;
27308184;Goldberg;48.6966069;9.0199002;halt;station;2171;VRStutt;Goldberg;5.0;Baden-Württemberg;2,09 €;5,58 €;;exact;100;;;
27312362;Stuttgart Flughafen/Messe;48.6905419;9.1931946;station;station;1824;VRStutt;Stuttgart Flughafen/Messe;4.0;Baden-Württemberg;2,90 €;7,74 €;;exact;100;;;
27313373;Kleinostheim;50.0028834;9.0720973;station;station;3235;BEG;Kleinostheim;5.0;Bayern;2,72 €;7,01 €;;exact;100;;;
27347076;Essen-Eiberg;51.4417321;7.1089523;halt;station;1700;VRR;Essen-Eiberg;5.0;Nordrhein-Westfalen;2,32 €;5,93 €;;exact;100;;;
27348485;Bochum-Hamme;51.4911657;7.2011276;halt;station;729;VRR;Bochum-Hamme;6.0;Nordrhein-Westfalen;2,76 €;7,00 €;;exact;100;;;
27358206;Heitersheim;47.8803539;7.6464809;station;station;2669;VM BW;Heitersheim;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
